Severity,Safety_Score,Days_Since_Inspection,Total_Safety_Complaints,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,Violations,Adverse_Weather_Metric,Accident_ID,ftr1,ftr2,ftr3,DSI_Segmented
Minor_Damage_And_Injuries,49.2237442922374,14,22,71.285323609845,0.272117562206996,78.04,2,31335.4768243775,3,0.42435208330785296,7570,3.5159817351598144,17.82133090246125,9.011563991498145,2
Minor_Damage_And_Injuries,62.4657534246575,10,27,72.2880583409298,0.42393869455463395,84.54,2,26024.711057085402,2,0.352349972573073,12128,6.24657534246575,24.096019446976598,12.628144526710585,1
Significant_Damage_And_Fatalities,63.0593607305936,13,16,66.362807657247,0.322604399567255,78.86,7,39269.0539266116,3,0.0033639069942974697,2181,4.850720056199508,16.59070191431175,0.08557975492408519,2
Significant_Damage_And_Serious_Injuries,48.082191780821894,11,9,74.7037374658159,0.33702921024161503,81.79,3,42771.4992003673,1,0.211728167404242,5946,4.371108343711081,37.35186873290795,5.836418016605111,1
Significant_Damage_And_Fatalities,26.4840182648402,13,25,47.9489516864175,0.541140281283808,77.16,3,35509.2285154196,2,0.17688336838481103,9054,2.037232174218477,15.9829838954725,7.385656105123722,2
Minor_Damage_And_Injuries,43.3333333333333,15,0,73.33637192342749,0.43295420122610906,78.63,2,29288.448104915497,1,0.394504816380126,10947,2.8888888888888866,36.668185961713746,13.430201963268498,2
Highly_Fatal_And_Damaging,22.0091324200913,15,10,62.853236098450296,0.314670753696357,88.04,4,32342.109345125602,0,0.0588715558622953,4717,1.4672754946727535,62.853236098450296,1.6309548094671555,2
Minor_Damage_And_Injuries,24.703196347031998,18,4,60.80218778486779,0.5483526866209879,83.48,4,22547.195241547597,2,0.0404193589227867,8008,1.3723997970573332,20.267395928289265,1.850256067462339,2
Highly_Fatal_And_Damaging,54.84018264840179,5,40,69.2342752962625,0.335586729174179,78.24,2,45751.983412795096,0,0.6191857633807429,8179,10.968036529680358,69.2342752962625,16.25753068258473,0
Significant_Damage_And_Serious_Injuries,52.2374429223744,6,4,57.4293527803099,0.465410025243419,79.56,1,37933.3990008527,1,1.3892954965549498,6324,8.7062404870624,28.71467639015495,51.44286366684283,0
Highly_Fatal_And_Damaging,36.6666666666667,11,11,80.21877848678221,0.45278831590335294,81.15,2,31463.568565177902,2,0.424911513212429,3789,3.333333333333336,26.739592828927403,15.612851691778793,1
Significant_Damage_And_Serious_Injuries,48.1278538812785,11,2,62.807657247037405,0.329095564370718,77.8,3,22570.030397977098,4,0.111873408309966,8946,4.375259443752591,12.56153144940748,2.864365902286666,1
Significant_Damage_And_Serious_Injuries,42.8767123287671,12,14,68.9608021877849,0.15960403894698902,77.23,3,44697.8687399317,3,0.22251011202462803,3629,3.5730593607305914,17.240200546946227,2.742708576991883,1
Significant_Damage_And_Fatalities,63.6529680365297,13,4,78.669097538742,0.232088712585647,80.78,7,30882.7263765865,3,0.00256728363044899,2451,4.896382156656131,19.6672743846855,0.04813175750170279,2
Highly_Fatal_And_Damaging,26.027397260274,14,2,83.54603463992709,0.3629938694554629,81.63,3,18915.509024870702,2,0.0958059182791733,4028,1.8590998043052858,27.84867821330903,2.8388433258496906,2
Highly_Fatal_And_Damaging,49.5890410958904,7,1,85.5515041020967,0.27031446087270106,78.86,3,25083.6579094431,2,0.12376105756485901,10493,7.084148727984343,28.517168034032235,2.63821426416436,1
Highly_Fatal_And_Damaging,10.867579908675802,18,1,68.003646308113,0.309622069960331,82.08,6,47893.7179720062,3,0.0112415293720467,20,0.6037544393708779,17.00091157702825,0.2856897487303181,2
Significant_Damage_And_Fatalities,38.767123287671204,10,4,37.8304466727438,0.600282005048683,80.82,4,35910.2004117809,1,0.0665145741903083,2064,3.8767123287671206,18.9152233363719,3.226940708400544,1
Significant_Damage_And_Fatalities,78.2191780821918,8,3,61.485870556062004,0.33811107104219196,82.2,2,34354.111221382205,2,0.462514456126825,2765,9.777397260273975,20.495290185354,12.8545394185768,1
